athlete_id,event,meet_year,result,position,points
1002,800m,1990,74.65,22,3
1664,800m,1990,125.56,9,7
2001,200m,1990,290.4,9,7
1040,Long Jump,1990,45.44,13,6
1230,Discus,1990,24.18,1,10
1744,200m,1990,264.34,9,7
1630,400m,1990,178.37,9,7
1491,100m,1990,41.44,14,6
1119,Long Jump,1990,51.41,11,7
1494,High Jump,1990,43.03,17,5
1176,200m,1990,121.71,19,4
1996,800m,1990,83.87,23,3
1142,High Jump,1990,1.62,30,0
1258,Discus,1990,48.55,24,2
1263,800m,1990,115.62,3,9
1974,Long Jump,1990,44.19,22,3
1256,Javelin,1991,27.56,1,10
1616,Long Jump,1991,21.95,13,6
2039,High Jump,1991,38.37,24,2
1634,Discus,1991,56.29,29,1
1837,800m,1991,151.59,9,7
1669,High Jump,1991,34.77,13,6
1825,Long Jump,1991,47.32,26,2
1606,High Jump,1991,51.11,27,1
1261,Shot Put,1991,64.49,20,4
1393,Discus,1991,3.35,13,6
1862,Javelin,1991,40.16,1,10
1777,200m,1991,196.4,5,9
1357,Shot Put,1991,13.95,9,7
1617,High Jump,1991,23.92,15,5
1832,Long Jump,1991,24.62,29,1
1001,High Jump,1991,20.56,27,1
1623,High Jump,1991,18.78,3,9
1588,Shot Put,1991,2.83,18,4
1431,100m,1991,299.97,12,6
1881,800m,1991,198.54,25,2
1660,100m,1991,228.73,8,8
1953,800m,1991,253.38,20,4
1905,400m,1991,79.18,16,5
1906,200m,1991,173.55,7,8
1438,Shot Put,1991,49.41,25,2
2047,Long Jump,1991,12.99,20,4
1970,200m,1991,235.56,6,8
1348,1500m,1991,41.35,1,10
1174,1500m,1991,176.98,30,0
1582,High Jump,1991,28.67,23,3
1687,800m,1991,32.04,23,3
1192,800m,1991,39.55,25,2
1482,1500m,1991,256.59,20,4
1636,200m,1991,240.91,19,4
1461,100m,1991,110.69,14,6
1408,Long Jump,1991,6.22,21,3
1302,Long Jump,1991,2.37,14,6
1051,Shot Put,1991,8.73,12,6
1095,Shot Put,1991,49.95,14,6
1502,400m,1991,222.8,21,3
1974,1500m,1991,188.61,30,0
1150,Discus,1991,54.56,15,5
1933,High Jump,1991,58.06,19,4
1849,1500m,1991,103.47,8,8
1399,200m,1991,90.89,15,5
1787,800m,1991,227.64,19,4
2013,Javelin,1991,47.27,11,7
1819,100m,1991,153.35,11,7
1500,400m,1991,151.39,12,6
1303,1500m,1991,108.7,29,1
1012,Javelin,1991,49.53,9,7
1219,Discus,1991,2.2,7,8
1871,200m,1991,79.99,14,6
1449,Shot Put,1991,39.53,8,8
1361,Shot Put,1991,45.74,16,5
1952,Shot Put,1991,55.82,3,9
1103,1500m,1991,74.26,23,3
1511,800m,1991,98.8,19,4
1249,Long Jump,1991,33.92,17,5
1935,Long Jump,1991,30.65,24,2
1274,Discus,1991,24.16,23,3
1650,Shot Put,1991,20.06,9,7
1907,800m,1991,44.99,7,8
2034,Long Jump,1991,9.69,18,4
1874,400m,1991,65.55,24,2
1914,Shot Put,1991,20.44,19,4
1326,Discus,1991,42.38,4,9
1973,800m,1991,95.91,12,6
1922,400m,1991,97.66,23,3
1531,Discus,1991,10.17,2,10
1507,100m,1991,170.47,23,3
1568,400m,1991,194.98,25,2
1993,Shot Put,1991,8.53,1,10
1490,Javelin,1991,20.98,16,5
1563,Shot Put,1991,24.84,2,10
1901,1500m,1991,282.91,16,5
1159,200m,1991,248.41,13,6
1586,Shot Put,1991,6.57,21,3
1481,100m,1991,54.0,26,2
1557,Javelin,1991,66.52,3,9
1688,800m,1991,44.35,25,2
1655,High Jump,1991,43.03,26,2
1166,Javelin,1991,16.96,17,5
1284,High Jump,1991,32.36,15,5
1309,1500m,1991,259.45,14,6
1474,1500m,1991,174.9,2,10
1785,Javelin,1991,67.27,4,9
1313,800m,1991,191.4,9,7
1439,200m,1991,55.55,6,8
1132,Discus,1991,6.64,1,10
1850,High Jump,1991,32.36,20,4
1835,Shot Put,1991,21.45,8,8
1678,1500m,1991,215.02,23,3
1955,Shot Put,1991,6.38,8,8
1852,1500m,1991,238.47,21,3
1128,Javelin,1991,46.79,30,0
1424,800m,1991,133.29,18,4
1861,800m,1991,197.81,30,0
1798,1500m,1991,249.72,3,9
1041,100m,1991,58.12,10,7
1592,Shot Put,1992,38.39,12,6
1900,Long Jump,1992,39.31,18,4
1255,High Jump,1992,32.69,11,7
1960,800m,1992,294.42,8,8
1623,Javelin,1992,27.73,28,1
1825,High Jump,1992,4.49,24,2
1558,Shot Put,1992,49.81,26,2
2025,High Jump,1992,27.95,22,3
2012,400m,1992,153.65,2,10
1897,400m,1992,155.66,19,4
1165,Long Jump,1992,61.07,28,1
1082,Shot Put,1992,8.33,30,0
1885,Shot Put,1992,2.55,5,9
1661,High Jump,1992,61.16,5,9
1513,200m,1992,146.15,9,7
1053,Long Jump,1992,44.19,13,6
1188,200m,1992,257.01,28,1
1469,Discus,1992,27.53,11,7
1043,Shot Put,1992,61.26,2,10
1552,Javelin,1992,6.19,21,3
1083,1500m,1992,299.25,24,2
1359,200m,1992,135.85,4,9
1964,200m,1992,138.67,23,3
1906,1500m,1992,271.99,2,10
1570,Long Jump,1992,56.04,10,7
1372,Long Jump,1992,27.18,5,9
1893,800m,1992,164.04,19,4
2008,400m,1992,59.3,3,9
1187,Javelin,1992,61.15,20,4
1963,800m,1992,154.32,19,4
1713,400m,1992,77.33,21,3
1837,1500m,1992,143.28,22,3
1683,100m,1992,270.68,15,5
1658,1500m,1992,206.51,6,8
1215,200m,1992,138.1,12,6
1330,Javelin,1992,21.99,14,6
1676,1500m,1992,142.48,10,7
1844,800m,1992,299.82,28,1
2015,Shot Put,1992,8.81,13,6
1591,Javelin,1992,26.09,10,7
1821,1500m,1992,16.36,27,1
1076,High Jump,1992,20.3,19,4
1932,100m,1992,274.08,24,2
1181,Shot Put,1992,58.55,29,1
1645,1500m,1992,234.96,8,8
1517,Javelin,1992,56.43,8,8
1663,800m,1992,190.06,22,3
1238,400m,1992,192.19,29,1
1828,100m,1992,99.59,15,5
1003,100m,1992,178.08,24,2
1947,400m,1992,36.14,10,7
1847,Long Jump,1992,52.7,6,8
1112,800m,1992,48.33,18,4
1385,Long Jump,1992,37.86,30,0
1741,1500m,1992,250.84,9,7
2021,Shot Put,1992,67.77,10,7
1106,Long Jump,1992,56.59,15,5
1417,200m,1992,50.82,8,8
1547,High Jump,1992,67.76,26,2
1269,Discus,1992,26.56,26,2
1590,High Jump,1992,2.45,18,4
1898,200m,1992,141.89,22,3
1993,1500m,1992,179.52,27,1
1249,Long Jump,1992,8.92,8,8
1060,Shot Put,1992,3.21,29,1
1491,Discus,1992,23.97,20,4
1325,800m,1992,197.82,21,3
1637,Shot Put,1992,63.79,10,7
1029,High Jump,1992,9.49,2,10
1836,100m,1992,98.27,16,5
1191,200m,1992,38.19,29,1
1461,Discus,1992,10.79,15,5
1233,Long Jump,1992,47.43,24,2
1946,Discus,1992,30.21,24,2
1241,400m,1992,266.77,21,3
1316,200m,1992,251.77,20,4
1598,High Jump,1992,65.83,9,7
2043,100m,1992,210.18,7,8
1560,Shot Put,1992,31.96,8,8
1851,Long Jump,1992,8.31,22,3
1989,Long Jump,1992,38.8,21,3
1968,Long Jump,1992,5.65,9,7
1500,800m,1992,290.78,28,1
1936,Shot Put,1992,7.78,7,8
1297,Javelin,1992,68.02,2,10
1786,Long Jump,1992,18.18,5,9
1391,Javelin,1992,15.56,27,1
2041,Discus,1992,15.69,7,8
1280,800m,1992,105.28,5,9
1143,Javelin,1992,1.69,28,1
1566,400m,1992,296.38,18,4
1850,1500m,1992,241.57,4,9
1697,100m,1992,48.22,12,6
2040,800m,1992,180.77,1,10
1548,400m,1992,86.96,5,9
1006,High Jump,1992,37.54,24,2
1580,200m,1992,148.11,25,2
1612,Long Jump,1992,36.66,4,9
2003,Shot Put,1992,36.01,20,4
1305,100m,1992,220.9,30,0
1618,Shot Put,1993,46.84,16,5
1939,Javelin,1993,31.78,9,7
1064,800m,1993,228.93,4,9
1125,Long Jump,1993,30.95,10,7
1981,Javelin,1993,34.83,22,3
1823,1500m,1993,23.17,13,6
1874,Javelin,1993,5.25,7,8
1222,1500m,1993,284.14,25,2
2005,400m,1993,231.61,10,7
1909,Long Jump,1993,9.72,16,5
1151,High Jump,1993,13.54,13,6
1166,Discus,1993,49.7,17,5
1660,Discus,1993,58.58,26,2
1304,Long Jump,1993,6.44,28,1
1135,100m,1993,136.5,15,5
1259,200m,1993,260.01,19,4
1564,High Jump,1993,40.78,23,3
1666,High Jump,1993,21.33,13,6
1781,100m,1993,290.2,6,8
1604,Javelin,1993,33.02,23,3
1930,Long Jump,1993,7.54,28,1
2036,200m,1993,80.56,19,4
1882,High Jump,1993,37.39,13,6
1204,1500m,1993,226.28,8,8
1235,Long Jump,1993,54.87,3,9
1441,Discus,1993,44.88,17,5
1881,Discus,1993,14.78,25,2
1925,Long Jump,1993,25.55,27,1
1468,400m,1993,78.52,5,9
1848,1500m,1993,67.21,20,4
1695,400m,1993,230.46,21,3
1929,200m,1993,61.37,25,2
1817,Shot Put,1993,33.28,19,4
1852,Javelin,1993,32.25,30,0
1195,Javelin,1993,45.54,20,4
1641,Long Jump,1993,60.7,21,3
1875,Long Jump,1993,11.84,3,9
1523,Shot Put,1993,31.79,10,7
1767,1500m,1993,181.51,12,6
1313,Discus,1993,6.58,15,5
1972,Shot Put,1993,4.08,12,6
1138,1500m,1993,32.25,28,1
1187,200m,1993,188.35,17,5
1175,High Jump,1993,33.2,18,4
1191,100m,1993,140.42,26,2
1885,Javelin,1993,46.15,11,7
1198,Javelin,1993,34.08,5,9
1764,100m,1993,140.65,26,2
1267,Long Jump,1993,68.79,3,9
1123,Discus,1993,45.76,2,10
1676,800m,1993,215.21,15,5
1251,Discus,1993,37.31,6,8
1842,Long Jump,1993,27.04,10,7
1725,High Jump,1993,29.5,11,7
1867,Javelin,1993,5.09,21,3
1106,Long Jump,1993,6.01,4,9
1590,Discus,1993,47.97,10,7
1640,1500m,1993,219.88,22,3
1721,Javelin,1993,61.32,11,7
1213,200m,1993,178.99,5,9
2040,Long Jump,1993,22.75,21,3
1436,High Jump,1993,10.33,23,3
1317,200m,1993,99.78,13,6
1988,Long Jump,1993,57.2,22,3
1460,Discus,1993,7.9,22,3
1718,High Jump,1993,36.33,1,10
1753,Long Jump,1993,22.66,7,8
1236,Long Jump,1993,66.42,16,5
1571,800m,1993,75.7,5,9
1464,400m,1993,32.38,28,1
1879,200m,1993,157.23,18,4
1054,Discus,1993,4.09,11,7
1548,Javelin,1993,10.48,13,6
1060,400m,1993,57.05,27,1
1370,Javelin,1993,56.92,6,8
1560,Shot Put,1993,4.49,12,6
1633,800m,1993,291.18,20,4
1696,1500m,1993,228.19,26,2
1719,Shot Put,1993,17.53,8,8
1013,1500m,1993,290.02,26,2
1372,Shot Put,1993,63.42,7,8
1294,Long Jump,1993,47.96,19,4
1821,Shot Put,1993,33.13,10,7
1143,High Jump,1993,35.95,14,6
1291,400m,1993,246.9,26,2
1063,Javelin,1993,10.98,9,7
1188,100m,1993,195.94,28,1
1771,Long Jump,1993,39.49,4,9
1860,Discus,1993,59.8,10,7
1699,200m,1993,231.3,9,7
1323,Shot Put,1993,63.51,5,9
1758,High Jump,1993,7.78,30,0
1639,800m,1993,246.84,29,1
1665,Long Jump,1993,65.24,14,6
1174,100m,1993,124.97,12,6
1108,800m,1993,121.99,3,9
1319,Long Jump,1993,16.88,11,7
1102,200m,1993,253.36,21,3
1168,Long Jump,1993,55.71,5,9
1558,100m,1993,93.2,27,1
1968,400m,1994,210.03,12,6
1285,Shot Put,1994,4.4,28,1
1961,Long Jump,1994,43.62,14,6
1919,1500m,1994,195.45,26,2
1011,100m,1994,31.76,21,3
1163,High Jump,1994,26.39,26,2
1039,400m,1994,286.31,5,9
1525,Javelin,1994,47.95,15,5
1442,100m,1994,46.61,8,8
1307,Long Jump,1994,26.31,19,4
1867,100m,1994,185.48,22,3
1228,Shot Put,1994,66.49,12,6
1591,Shot Put,1994,53.77,19,4
1487,400m,1994,163.54,13,6
1617,Long Jump,1994,45.99,8,8
1250,200m,1994,17.51,6,8
1098,Shot Put,1994,36.97,30,0
1489,Discus,1994,9.57,25,2
1860,1500m,1994,214.17,7,8
1937,Javelin,1994,21.06,30,0
1129,Shot Put,1994,15.21,5,9
2024,200m,1994,141.09,29,1
1034,Shot Put,1994,69.81,26,2
1496,Long Jump,1994,47.25,23,3
1295,200m,1994,169.5,10,7
1597,1500m,1994,256.89,23,3
1880,400m,1994,240.17,17,5
1004,800m,1994,45.2,7,8
1723,400m,1994,78.65,16,5
1493,100m,1994,114.66,19,4
1854,Long Jump,1994,33.52,18,4
1384,400m,1994,187.47,3,9
1176,200m,1994,99.69,23,3
1739,Shot Put,1994,37.51,25,2
1139,High Jump,1994,57.9,3,9
2040,400m,1994,291.99,21,3
1042,200m,1994,140.49,22,3
1800,Discus,1994,25.1,29,1
1963,Discus,1994,45.33,6,8
1090,400m,1994,135.46,30,0
1793,100m,1994,251.1,17,5
1765,400m,1994,98.2,6,8
1520,Long Jump,1994,65.53,8,8
1732,Long Jump,1994,66.4,17,5
1707,1500m,1994,255.32,9,7
1494,800m,1994,194.17,18,4
1213,1500m,1994,46.3,10,7
1681,Javelin,1994,38.04,17,5
1274,400m,1994,181.62,19,4
1091,400m,1994,59.65,20,4
1722,Javelin,1994,24.63,30,0
1694,Javelin,1994,4.32,28,1
1359,100m,1994,33.55,21,3
1952,Javelin,1994,19.63,7,8
1981,Javelin,1994,30.04,21,3
1374,100m,1994,154.43,21,3
1277,Discus,1994,21.34,10,7
1130,Shot Put,1994,18.27,26,2
1938,High Jump,1994,21.87,3,9
1076,100m,1994,55.84,14,6
1601,Shot Put,1994,33.31,11,7
1413,Javelin,1994,11.34,28,1
1409,Long Jump,1994,51.79,28,1
1086,Long Jump,1994,68.31,5,9
1647,Long Jump,1994,36.78,4,9
1636,Long Jump,1994,18.06,4,9
1816,1500m,1994,140.38,5,9
1970,200m,1994,24.68,13,6
1519,Javelin,1994,30.14,28,1
1075,400m,1994,245.91,30,0
1392,Javelin,1994,50.9,7,8
1586,400m,1994,154.5,17,5
1680,Shot Put,1994,35.67,10,7
1560,Shot Put,1994,3.09,13,6
1255,Discus,1994,32.82,8,8
1754,800m,1994,179.17,2,10
1895,100m,1994,91.59,20,4
1820,Shot Put,1994,21.07,1,10
1901,200m,1994,134.97,29,1
1792,1500m,1994,220.98,25,2
1695,High Jump,1994,26.57,13,6
1383,100m,1994,175.38,7,8
2017,Long Jump,1994,39.4,3,9
2019,High Jump,1994,36.04,25,2
1753,Discus,1994,20.66,20,4
1547,Javelin,1994,9.64,4,9
1170,High Jump,1994,27.06,11,7
1870,Discus,1994,65.82,25,2
1162,400m,1994,67.73,17,5
1882,High Jump,1994,35.76,2,10
1370,100m,1994,49.74,11,7
1602,Shot Put,1994,37.07,5,9
1658,Javelin,1994,62.68,5,9
1211,Long Jump,1994,65.3,11,7
1164,400m,1994,123.96,20,4
1672,1500m,1994,182.18,17,5
1606,Discus,1994,37.97,23,3
1628,Javelin,1994,22.04,27,1
1914,100m,1994,116.82,22,3
1873,200m,1994,294.17,19,4
1631,1500m,1995,141.76,21,3
1055,Discus,1995,37.42,29,1
1972,400m,1995,256.81,15,5
1544,1500m,1995,65.92,4,9
1467,Long Jump,1995,12.63,15,5
1106,1500m,1995,218.39,1,10
1984,Long Jump,1995,55.67,19,4
1350,800m,1995,60.89,28,1
1779,High Jump,1995,58.15,17,5
1303,Long Jump,1995,7.44,22,3
1497,200m,1995,63.59,5,9
1065,Shot Put,1995,23.67,8,8
1226,100m,1995,85.63,8,8
1391,Shot Put,1995,53.13,11,7
1039,1500m,1995,178.91,19,4
1904,100m,1995,85.85,12,6
1643,800m,1995,28.02,4,9
1858,Shot Put,1995,22.52,13,6
1311,Discus,1995,64.73,29,1
1846,1500m,1995,210.18,21,3
1418,1500m,1995,116.59,8,8
1841,800m,1995,287.63,16,5
2028,400m,1995,141.94,20,4
1966,Long Jump,1995,29.99,18,4
1128,Shot Put,1995,53.38,26,2
1283,800m,1995,230.94,22,3
1425,Javelin,1995,61.31,3,9
1666,Discus,1995,32.1,23,3
1980,Long Jump,1995,6.85,19,4
1772,200m,1995,27.91,18,4
1355,Discus,1995,15.35,18,4
1942,400m,1995,57.72,28,1
1702,Discus,1995,31.77,22,3
1726,800m,1995,217.91,16,5
1542,200m,1995,270.68,15,5
1992,100m,1995,141.5,17,5
1394,High Jump,1995,32.79,2,10
1505,Discus,1995,33.17,26,2
1572,1500m,1995,219.75,13,6
1612,1500m,1995,246.77,24,2
1461,800m,1995,177.71,2,10
1610,High Jump,1995,25.1,3,9
1592,Discus,1995,69.6,30,0
2002,200m,1995,295.98,16,5
1650,100m,1995,93.26,6,8
1983,400m,1995,232.09,24,2
1715,High Jump,1995,27.15,29,1
1561,High Jump,1995,32.22,30,0
1590,High Jump,1995,27.23,22,3
1250,Discus,1995,10.61,28,1
1778,Long Jump,1995,9.63,18,4
1809,High Jump,1995,37.73,24,2
1707,800m,1995,252.1,25,2
1300,100m,1995,293.76,15,5
1595,Discus,1995,30.55,13,6
1087,800m,1995,81.78,12,6
1162,400m,1995,89.94,30,0
1710,200m,1995,19.34,22,3
1906,High Jump,1995,43.62,30,0
1526,100m,1995,79.79,3,9
1982,200m,1995,182.24,15,5
1439,Javelin,1995,47.53,28,1
1414,100m,1995,80.97,2,10
1556,High Jump,1995,31.57,18,4
1557,800m,1995,228.77,25,2
1282,100m,1995,50.64,10,7
1224,800m,1995,246.58,24,2
1491,Javelin,1995,23.34,20,4
1104,Long Jump,1995,17.73,29,1
1463,400m,1995,295.85,17,5
1477,800m,1995,129.93,9,7
1108,100m,1995,171.45,19,4
1206,400m,1995,191.54,14,6
1847,Discus,1995,35.45,12,6
1677,High Jump,1995,55.33,11,7
1968,High Jump,1995,29.47,10,7
1011,High Jump,1995,14.1,18,4
1324,Shot Put,1995,18.01,8,8
1834,1500m,1995,258.69,5,9
1975,Shot Put,1995,64.16,18,4
1978,High Jump,1995,67.79,18,4
1409,Discus,1995,10.69,8,8
1589,1500m,1995,68.97,21,3
1658,200m,1995,277.45,28,1
1585,Long Jump,1995,7.83,24,2
1122,800m,1995,24.95,13,6
1184,Javelin,1995,42.8,28,1
1476,200m,1995,64.57,25,2
1077,Javelin,1995,51.11,18,4
1359,800m,1995,149.02,28,1
1856,Long Jump,1995,22.27,30,0
1361,100m,1995,71.42,7,8
1075,200m,1995,226.59,25,2
1814,Shot Put,1995,64.14,23,3
2015,Javelin,1995,49.71,13,6
1382,800m,1995,170.1,25,2
1593,1500m,1995,120.39,18,4
1019,Long Jump,1995,22.63,12,6
1220,Discus,1995,61.97,15,5
1687,200m,1995,242.82,24,2
1962,200m,1996,96.79,19,4
1656,800m,1996,174.34,28,1
1417,High Jump,1996,47.88,18,4
1760,Long Jump,1996,27.79,24,2
1641,400m,1996,239.24,23,3
1848,200m,1996,155.23,12,6
1094,100m,1996,38.33,8,8
1454,200m,1996,108.77,25,2
1299,Javelin,1996,66.91,13,6
1034,Long Jump,1996,3.53,9,7
1535,Shot Put,1996,35.11,12,6
1856,Discus,1996,65.97,14,6
1605,400m,1996,207.11,22,3
1313,High Jump,1996,7.37,20,4
1402,1500m,1996,241.44,23,3
1676,200m,1996,33.79,5,9
1472,High Jump,1996,50.25,21,3
1778,400m,1996,224.5,11,7
1504,Long Jump,1996,8.8,1,10
2023,1500m,1996,138.97,25,2
1692,1500m,1996,39.65,3,9
1528,400m,1996,134.98,18,4
2001,Discus,1996,36.6,4,9
2005,100m,1996,35.99,18,4
1944,200m,1996,183.11,26,2
1345,Long Jump,1996,60.66,1,10
1722,1500m,1996,130.0,25,2
1347,200m,1996,220.2,18,4
1287,800m,1996,175.87,6,8
1377,High Jump,1996,13.11,9,7
1121,1500m,1996,87.84,5,9
1070,200m,1996,58.49,9,7
1153,High Jump,1996,22.03,26,2
1100,200m,1996,114.73,8,8
1014,Shot Put,1996,42.18,7,8
1845,Shot Put,1996,8.83,10,7
1282,100m,1996,285.16,11,7
1474,Javelin,1996,27.52,28,1
1140,Long Jump,1996,31.66,14,6
1310,Javelin,1996,10.82,11,7
1019,Javelin,1996,66.39,7,8
1448,Shot Put,1996,23.02,13,6
2036,Long Jump,1996,21.46,23,3
1934,Shot Put,1996,67.79,26,2
1765,800m,1996,104.51,9,7
1124,High Jump,1996,26.5,30,0
1990,Javelin,1996,15.19,18,4
2000,400m,1996,207.7,18,4
1033,100m,1996,286.37,15,5
1843,800m,1996,137.15,10,7
1025,200m,1996,247.5,26,2
1035,High Jump,1996,47.6,5,9
1563,1500m,1996,80.19,22,3
1588,400m,1996,217.42,26,2
1036,High Jump,1996,6.57,20,4
2029,Shot Put,1996,41.38,18,4
1882,Discus,1996,64.76,28,1
1368,High Jump,1996,38.74,26,2
1220,Long Jump,1996,49.56,26,2
1198,Discus,1996,42.18,30,0
1305,200m,1996,41.72,8,8
1494,Long Jump,1996,12.89,20,4
1394,100m,1996,173.33,21,3
1517,High Jump,1996,67.73,11,7
1726,High Jump,1996,8.76,4,9
1548,1500m,1996,74.38,24,2
1813,Discus,1996,39.72,23,3
1162,Javelin,1996,16.64,12,6
1832,High Jump,1996,33.22,22,3
1941,Javelin,1996,48.79,5,9
1499,Long Jump,1996,69.84,16,5
1463,200m,1996,95.68,30,0
1615,200m,1996,43.66,24,2
1166,400m,1996,111.02,11,7
1065,Shot Put,1996,55.22,17,5
1192,Shot Put,1996,25.36,4,9
1831,Shot Put,1996,50.96,15,5
1777,Long Jump,1996,6.1,2,10
1773,200m,1996,16.55,11,7
1975,200m,1996,206.37,6,8
1115,800m,1996,159.64,18,4
1020,400m,1996,105.99,14,6
1351,Shot Put,1996,17.38,13,6
1170,400m,1996,64.05,22,3
2024,High Jump,1996,28.6,24,2
1889,Javelin,1996,61.99,15,5
1679,Javelin,1996,30.92,1,10
1196,800m,1996,69.68,25,2
1088,200m,1996,177.43,26,2
1471,Discus,1996,14.31,11,7
1433,800m,1996,142.69,9,7
1974,Shot Put,1996,37.65,21,3
1556,Long Jump,1996,42.39,20,4
1096,High Jump,1996,41.71,12,6
1575,Long Jump,1996,59.42,20,4
1068,400m,1996,245.98,23,3
1645,1500m,1996,276.42,19,4
1425,200m,1996,204.91,11,7
1296,200m,1996,79.19,4,9
1816,400m,1996,118.26,5,9
2047,High Jump,1997,58.0,16,5
1796,1500m,1997,103.63,10,7
1857,Long Jump,1997,38.99,5,9
1283,Javelin,1997,59.89,26,2
1786,Long Jump,1997,62.75,25,2
1867,100m,1997,23.32,21,3
1381,Shot Put,1997,2.62,30,0
1997,400m,1997,137.97,1,10
1355,High Jump,1997,15.36,23,3
1342,400m,1997,265.82,10,7
2003,400m,1997,263.58,29,1
1592,1500m,1997,37.07,12,6
1288,1500m,1997,33.9,22,3
1384,400m,1997,25.02,21,3
1645,1500m,1997,220.54,25,2
1924,800m,1997,134.48,3,9
1110,200m,1997,10.32,16,5
1736,200m,1997,48.48,8,8
1020,Discus,1997,48.08,1,10
1993,100m,1997,211.72,27,1
1280,200m,1997,296.56,14,6
1400,400m,1997,148.53,8,8
1787,High Jump,1997,7.62,26,2
2036,200m,1997,39.93,12,6
2014,1500m,1997,49.77,25,2
1838,400m,1997,196.06,22,3
2008,400m,1997,29.84,19,4
1852,100m,1997,186.99,6,8
1910,Shot Put,1997,25.56,7,8
2001,400m,1997,276.77,20,4
1343,Shot Put,1997,60.41,3,9
1170,200m,1997,50.6,4,9
1064,Javelin,1997,51.51,12,6
1452,High Jump,1997,23.04,5,9
1599,800m,1997,90.32,3,9
1067,800m,1997,170.49,20,4
1563,Javelin,1997,21.02,23,3
1461,100m,1997,255.89,22,3
1345,1500m,1997,69.58,20,4
1937,Discus,1997,14.42,13,6
2015,1500m,1997,197.39,26,2
1232,800m,1997,153.52,4,9
1234,800m,1997,154.88,20,4
1549,200m,1997,163.2,1,10
1752,Long Jump,1997,65.47,5,9
1086,High Jump,1997,60.47,19,4
1904,High Jump,1997,26.53,22,3
1448,400m,1997,231.19,25,2
1871,200m,1997,14.84,3,9
1210,100m,1997,86.03,2,10
1507,100m,1997,285.12,13,6
1610,Discus,1997,21.12,23,3
1922,Discus,1997,54.05,14,6
1539,High Jump,1997,7.15,18,4
1714,Discus,1997,43.7,9,7
1179,200m,1997,99.87,17,5
1900,800m,1997,292.55,5,9
1241,Discus,1997,23.88,19,4
1486,200m,1997,99.95,14,6
1430,800m,1997,26.79,3,9
1719,High Jump,1997,9.45,20,4
1877,Javelin,1997,5.27,22,3
1340,400m,1997,44.64,23,3
1286,400m,1997,213.43,6,8
